2016-09-04,Belphegor,Metal,Culture Room,Ft. Lauderdale,7:00 PM,20.00 
2016-09-09,Anthony Green,Alternative,Culture Room,Ft. Lauderdale,7:30 PM,16.00 
2016-09-14,Zach Deputy,Rock,Culture Room,Ft. Lauderdale,7:00 PM,15.00 
2016-09-14,Ballyhoo!,Alternative,Culture Room,Ft. Lauderdale,7:00 PM,15.00 
2016-09-14,Bumpin' Uglies,Reggae,Culture Room,Ft. Lauderdale,7:00 PM,15.00 
2016-09-14,Sun-Dried Vibes,Reggae,Culture Room,Ft. Lauderdale,7:00 PM,15.00 
2016-09-16,The Oh Hellos,Pop,Culture Room,Ft. Lauderdale,8:00 PM,15.00 
2016-09-22,Fuel,Rock,Culture Room,Ft. Lauderdale,8:00 PM,22.00 
2016-10-01,The Dandy Warhols,Pop,Culture Room,Ft. Lauderdale,8:00 PM,20.00 
2016-10-14,LANY,Pop,Culture Room,Ft. Lauderdale,7:00 PM,15.00 
2016-10-16,Dance Gavin Dance,Rock,Culture Room,Ft. Lauderdale,6:00 PM,20.00 
2016-10-22,EDEN,Alternative,Culture Room,Ft. Lauderdale,7:30 PM,15.00 
2016-10-23,The Psychedelic Furs,Classic Rock,Culture Room,Ft. Lauderdale,7:30 PM,30.00 
2016-11-18,Peter Hook & The Light,Alternative,Culture Room,Ft. Lauderdale,8:00 PM,25.00 
2016-11-20,Steven Wilson,Rock,Culture Room,Ft. Lauderdale,7:30 PM,30.00 
2016-11-30,Queensryche,Classic Rock,Culture Room,Ft. Lauderdale,7:30 PM,28.00 
2016-12-02,Perpetual Groove,Rock,Culture Room,Ft. Lauderdale,8:00 PM,18.00 
2016-12-03,Perpetual Groove,Rock,Culture Room,Ft. Lauderdale,8:00 PM,18.00 
2016-08-04,Gruesome,Metal,The Orpheum,Tampa,7:00 PM,12.00 
2016-08-11,Hey Mercedes,Alternative,The Orpheum,Tampa,7:30 PM,15.00 
2016-08-14,Austin Jones,Pop,The Orpheum,Tampa,5:00 PM,15.00 
2016-08-19,Otep,Rock,The Orpheum,Tampa,7:00 PM,17.00 
2016-08-20,Monolord,Rock,The Orpheum,Tampa,6:00 PM,12.00 
2016-09-01,Peelander-Z,Alternative,The Orpheum,Tampa,7:00 PM,10.00 
2016-09-03,Marduk,Metal,The Orpheum,Tampa,6:00 PM,20.00 
2016-09-07,Angel Vivaldi,Metal,The Orpheum,Tampa,7:00 PM,15.00 
2016-09-09,Blind Guardian,Metal,The Orpheum,Tampa,7:00 PM,29.00 
2016-09-10,Anthony Green,Alternative,The Orpheum,Tampa,6:30 PM,17.50 
2016-09-13,Watsky,Rap,The Orpheum,Tampa,7:30 PM,16.00 
2016-09-21,The Dreadcrew of Oddwood,Metal,The Orpheum,Tampa,7:00 PM,12.00 
2016-10-01,For Today,Metal,The Orpheum,Tampa,6:00 PM,18.00 
2016-10-21,EDEN,Alternative,The Orpheum,Tampa,8:00 PM,15.00 
2016-10-28,Seven Kingdoms,Metal,The Orpheum,Tampa,7:00 PM,10.00 
2016-10-30,Alestorm,Metal,The Orpheum,Tampa,7:00 PM,17.00 
2016-12-02,The Electric Hellfire Club,Electronic,The Orpheum,Tampa,7:00 PM,17.00 
2016-08-06,Morgan Page,Electronic,The Ritz,Tampa,10:00 PM,15.00 
2016-08-13,Audien,Electronic,The Ritz,Tampa,10:00 PM,15.00 
2016-08-14,Orishas,Rap,The Ritz,Tampa,6:00 PM,40.00 
2016-08-19,Henry Fong,Electronic,The Ritz,Tampa,6:00 PM,15.00 
2016-08-19,Milo & Otis,Electronic,The Ritz,Tampa,6:00 PM,15.00 
2016-09-08,Ja Rule,Rap,The Ritz,Tampa,8:00 PM,35.00 
2016-09-08,Ashanti,R&B/Soul,The Ritz,Tampa,8:00 PM,35.00 
2016-09-09,Flux Pavilion,Electronic,The Ritz,Tampa,10:00 PM,20.00 
2016-09-27,Gojira,Metal,The Ritz,Tampa,8:00 PM,27.50 
2016-09-27,Tesseract,Metal,The Ritz,Tampa,8:00 PM,27.50 
2016-10-26,Foals,Alternative,The Ritz,Tampa,7:30 PM,20.00 
2016-10-27,Pennywise,Alternative,The Ritz,Tampa,7:00 PM,21.50 
2016-10-29,Tritonal,Electronic,The Ritz,Tampa,9:00 PM,15.00 
2016-11-08,Animal Collective,Alternative,The Ritz,Tampa,8:00 PM,25.00 
2016-11-15,Tegan and Sara,Pop,The Ritz,Tampa,8:00 PM,33.00 
2016-11-19,Peter Hook & The Light,Rock,The Ritz,Tampa,8:00 PM,35.00 
2016-08-06,David Bazan,Alternative,Crowbar,Tampa,8:00 PM,15.00 
2016-08-10,Sorority Noise,Alternative,Crowbar,Tampa,7:30 PM,14.00 
2016-08-13,Two Cow Garage,Rock,Crowbar,Tampa,9:00 PM,10.00 
2016-09-10,Lord Dying,Metal,Crowbar,Tampa,8:00 PM,12.00 
2016-09-14,Twin Peaks,Alternative,Crowbar,Tampa,8:00 PM,12.00 
2016-10-01,SKELETONWITCH,Metal,Crowbar,Tampa,7:00 PM,16.00 
2016-10-06,Junior Boys,Electronic,Crowbar,Tampa,9:00 PM,12.00 
2016-10-08,Chrome Sparks,Electronic,Crowbar,Tampa,9:00 PM,12.00 
2016-10-15,MC Chris,Rap,Crowbar,Tampa,9:30 PM,13.00 
2016-10-29,PUP,Alternative,Crowbar,Tampa,7:00 PM,12.00 
2016-11-30,Bobaflex,Rock,Crowbar,Tampa,8:00 PM,13.00 
2016-12-01,Perpetual Groove,Rock,Crowbar,Tampa,9:00 PM,20.00 
2016-08-12,Travis Tritt,Country,Donald L. Tucker Civic Center,Tallahassee,7:00 PM,59.00 
2016-08-16,Alice Cooper,Classic Rock,The Pavilion,Tallahassee,8:00 PM,50.00 
2016-09-20,Alabama Shakes,Alternative,Capital City Amphitheater,Tallahassee,7:15 PM,73.00 
2016-09-20,Coinne Bailey Rae,Pop,Capital City Amphitheater,Tallahassee,7:15 PM,73.00 
2016-09-24,Rascal Flatts,Country,The Pavilion,Tallahassee,7:30 PM,86.00 
2016-08-25,Tobacco Rd Band,Country,The Moon,Tallahassee,7:00 PM,10.00 
2016-11-07,Animal Collective,Tallahassee,The Moon,Tallahassee,9:00 PM,20.00 
